scheme_code,scheme_name,canonical_scheme_name,match_key,category,is_active,rejection_reason
119832,SBI OVERNIGHT FUND - - WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Overnight Fund - - Weekly Income Distribution Cum Capital Withdrawal ( ),sbiovernightweeklyincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119833,SBI OVERNIGHT FUND - -,Sbi Overnight Fund - -,sbiovernight,unknown,True,Unknown Category
119834,SBI FOCUSED FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Focused Fund - - Income Distribution Cum Capital Withdrawal ( ),sbifocusedincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119835,SBI CONTRA FUND - -,Sbi Contra Fund - -,sbicontra,unknown,True,Unknown Category
119836,SBI CONSERVATIVE HYBRID FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Conservative Hybrid Fund - - Income Distribution Cum Capital Withdrawal ( ),sbiconservativehybridincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119837,SBI CONSERVATIVE HYBRID FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Conservative Hybrid Fund - - Income Distribution Cum Capital Withdrawal ( ),sbiconservativehybridincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119838,SBI CONSERVATIVE HYBRID FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Conservative Hybrid Fund - - Income Distribution Cum Capital Withdrawal ( ),sbiconservativehybridincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119839,SBI CONSERVATIVE HYBRID FUND - -,Sbi Conservative Hybrid Fund - -,sbiconservativehybrid,unknown,True,Unknown Category
119840,SBI MULTI ASSET ALLOCATION FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Multi Asset Allocation Fund - - Income Distribution Cum Capital Withdrawal ( ),sbimultiassetallocationincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119841,SBI MULTI ASSET ALLOCATION FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Multi Asset Allocation Fund - - Income Distribution Cum Capital Withdrawal ( ),sbimultiassetallocationincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119842,SBI MULTI ASSET ALLOCATION FUND - - INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL ( ),Sbi Multi Asset Allocation Fund - - Income Distribution Cum Capital Withdrawal ( ),sbimultiassetallocationincomedistributioncumcapitalwithdrawal,unknown,True,Unknown Category
119843,SBI MULTI ASSET ALLOCATION FUND - -,Sbi Multi Asset Allocation Fund - -,sbimultiassetallocation,unknown,True,Unknown Category
119844,L&T TRIPLE ACE BOND FUND - -,L&T Triple Ace Bond Fund - -,lttripleacebond,unknown,True,Unknown Category
119846,L&T TRIPLE ACE BOND FUND - -SEMI,L&T Triple Ace Bond Fund - -Semi,lttripleacebondsemi,unknown,True,Unknown Category
119847,L&T TRIPLE ACE BOND FUND - -,L&T Triple Ace Bond Fund - -,lttripleacebond,unknown,True,Unknown Category
119848,L&T ULTRA SHORT TERM FUND- - DAILY,L&T Ultra Short Term Fund- - Daily,ltultrashorttermdaily,unknown,True,Unknown Category
119849,L&T ULTRA SHORT TERM FUND- -,L&T Ultra Short Term Fund- -,ltultrashortterm,unknown,True,Unknown Category
119850,L&T ULTRA SHORT TERM FUND- - WEEKLY,L&T Ultra Short Term Fund- - Weekly,ltultrashorttermweekly,unknown,True,Unknown Category
119851,L&T ULTRA SHORT TERM FUND- -,L&T Ultra Short Term Fund- -,ltultrashortterm,unknown,True,Unknown Category
119852,L&T CONSERVATIVE HYBRID FUND - -,L&T Conservative Hybrid Fund - -,ltconservativehybrid,unknown,True,Unknown Category
119853,L&T CONSERVATIVE HYBRID FUND - -,L&T Conservative Hybrid Fund - -,ltconservativehybrid,unknown,True,Unknown Category
119854,L&T CONSERVATIVE HYBRID FUND - -,L&T Conservative Hybrid Fund - -,ltconservativehybrid,unknown,True,Unknown Category
119856,L&T SHORT TERM BOND FUND - -,L&T Short Term Bond Fund - -,ltshorttermbond,unknown,True,Unknown Category
119857,L&T SHORT TERM BOND FUND - -,L&T Short Term Bond Fund - -,ltshorttermbond,unknown,True,Unknown Category
119858,L&T SHORT TERM BOND FUND - -,L&T Short Term Bond Fund - -,ltshorttermbond,unknown,True,Unknown Category
119861,TATA LIQUID FUND- -,Tata Liquid Fund- -,tataliquid,unknown,True,Unknown Category
119862,TATA LIQUID FUND- - DAILY OF,Tata Liquid Fund- - Daily Of,tataliquiddailyof,unknown,True,Unknown Category
119863,TATA TREASURY ADVANTAGE FUND - -,Tata Treasury Advantage Fund - -,tatatreasuryadvantage,unknown,True,Unknown Category
119864,TATA TREASURY ADVANTAGE FUND - DAILY OF,Tata Treasury Advantage Fund - Daily Of,tatatreasuryadvantagedailyof,unknown,True,Unknown Category
119865,TATA TREASURY ADVANTAGE FUND - WEEKLY OF,Tata Treasury Advantage Fund - Weekly Of,tatatreasuryadvantageweeklyof,unknown,True,Unknown Category
119876,TATA INCOME FUND - -,Tata Income Fund - -,tataincome,unknown,True,Unknown Category
119877,TATA INCOME FUND- - HALF YEARLY OF,Tata Income Fund- - Half Yearly Of,tataincomehalfyearlyof,unknown,True,Unknown Category
